tableName,allocationStatus,projectSummary,projectID,year,projectCode,projectTitle,applicationID,applicationCode,windowID,windowFullName,countryID,countryName,countryCode,agencyID,agencyName,agencyShortName,implementingAgencyID,implementingAgencyName,emergencyTypeID,emergencyTypeName,projectsectors,totalAmountApproved,projectSectorName,beneficiaryType,projectgrouping,projectStatus,dateUSGSignature,emergencyGroupName,emergencyCategoryName,regionName,subRegionName,continentName,projectTypeName,projectcapcode,ProjectCountry,emergencyGroupForGlobalReporting,plannedGirls,plannedBoys,plannedChildren,plannedWomen,plannedMen,plannedFemale,plannedMale,plannedAdults,totalPeoplePlanned,projectStartDate,projectEndDate,letterSentToAgencyDate,disbursementDate,projectTypeID,cerfGenderMarkerID,cerfGenderMarkerName,genderMarkerType
P,Under Review,To be determined,40286,2026,CERF-LBN-26-RR-1552(TBD),To be determined,1552,CERF-LBN-26-RR-1552,3,Rapid Response,52,Lebanon,LBN,-1,To be determined,To be determined,-1,To be determined,29,Displacement/Migration,"{""projectsectors"":[{""tableName"":""P"",""projectID"":40286,""projectCode"":""CERF-LBN-26-RR-1552(TBD)"",""sectorID"":-1,""sectorName"":""To be determined"",""cERFSectorName"":""To be determined"",""sectorAmount"":12000000.0,""clusterName"":""To be determined"",""iascSectorname"":""To be determined""}]}",12000000,To be determined,Host communities;Refugees;Returnees;Internally displaced persons,"{""projectgrouping"":[]}",Under Review,2026-06-14T00:00:00,Internal strife,Man-made,Western Asia,Western Asia,Asia,HRP,"{""projectcapcode"":[]}","{""ProjectCountry"":[]}",,,,,,,,,,,,,,,,,,
P,Under Review,To be determined,40287,2026,CERF-SSD-26-RR-1556(TBD),To be determined,1556,CERF-SSD-26-RR-1556,3,Rapid Response,91,South Sudan,SSD,-1,To be determined,To be determined,-1,To be determined,30,Ebola,"{""projectsectors"":[{""tableName"":""P"",""projectID"":40287,""projectCode"":""CERF-SSD-26-RR-1556(TBD)"",""sectorID"":-1,""sectorName"":""To be determined"",""cERFSectorName"":""To be determined"",""sectorAmount"":6000000.0,""clusterName"":""To be determined"",""iascSectorname"":""To be determined""}]}",6000000,To be determined,Host communities;Refugees;Returnees;Internally displaced persons,"{""projectgrouping"":[]}",Under Review,2026-06-23T00:00:00,"Meteorological, Hydrological and Climatological",,Eastern Africa,Eastern Africa,Africa,HRP,"{""projectcapcode"":[]}","{""ProjectCountry"":[]}",Disease Outbreak,,,,,,,,,,,,,,,,,
P,Under Review,To be determined,40288,2026,CERF-ETH-26-RR-1557(TBD),To be determined,1557,CERF-ETH-26-RR-1557,3,Rapid Response,34,Ethiopia,ETH,-1,To be determined,To be determined,-1,To be determined,32,Refugees,"{""projectsectors"":[{""tableName"":""P"",""projectID"":40288,""projectCode"":""CERF-ETH-26-RR-1557(TBD)"",""sectorID"":-1,""sectorName"":""To be determined"",""cERFSectorName"":""To be determined"",""sectorAmount"":6050000.0,""clusterName"":""To be determined"",""iascSectorname"":""To be determined""}]}",6050000,To be determined,Host communities;Refugees,"{""projectgrouping"":[]}",Under Review,2026-07-07T00:00:00,,,Eastern Africa,Eastern Africa,Africa,HRP,"{""projectcapcode"":[]}","{""ProjectCountry"":[]}",Conflict-related,,,,,,,,,,,,,,,,,
P,Under Review,To be determined,40289,2026,CERF-CAF-26-RR-1559(TBD),To be determined,1559,CERF-CAF-26-RR-1559,3,Rapid Response,20,Central African Republic,CAF,-1,To be determined,To be determined,-1,To be determined,9,Cholera,"{""projectsectors"":[{""tableName"":""P"",""projectID"":40289,""projectCode"":""CERF-CAF-26-RR-1559(TBD)"",""sectorID"":-1,""sectorName"":""To be determined"",""cERFSectorName"":""To be determined"",""sectorAmount"":1000000.0,""clusterName"":""To be determined"",""iascSectorname"":""To be determined""}]}",1000000,To be determined,Host communities;Returnees;Internally displaced persons,"{""projectgrouping"":[]}",Under Review,2026-07-12T00:00:00,Biological (human disease outbreak and other health emergency),Natural Disaster,Middle Africa,Middle Africa,Africa,HRP,"{""projectcapcode"":[]}","{""ProjectCountry"":[]}",Disease Outbreak,,,,,,,,,,,,,,,,,
P,Under Review,To be determined,40290,2026,CERF-RWA-26-RR-1560(TBD),To be determined,1560,CERF-RWA-26-RR-1560,3,Rapid Response,72,Rwanda,RWA,-1,To be determined,To be determined,-1,To be determined,30,Ebola,"{""projectsectors"":[{""tableName"":""P"",""projectID"":40290,""projectCode"":""CERF-RWA-26-RR-1560(TBD)"",""sectorID"":-1,""sectorName"":""To be determined"",""cERFSectorName"":""To be determined"",""sectorAmount"":2000000.0,""clusterName"":""To be determined"",""iascSectorname"":""To be determined""}]}",2000000,To be determined,Host communities;Refugees;Returnees;Internally displaced persons;Other affected persons,"{""projectgrouping"":[]}",Under Review,2026-07-09T00:00:00,"Meteorological, Hydrological and Climatological",,Eastern Africa,Eastern Africa,Africa,HRP,"{""projectcapcode"":[]}","{""ProjectCountry"":[]}",Disease Outbreak,,,,,,,,,,,,,,,,,
P,Completed,"This is a project under the CERF-funded anticipatory action (AA) framework for cyclones in Madagascar. Through this AA cyclone project, IOM provides proactive lifesaving Shelter and Camp Coordination and Camp Management (CCCM) assistance to affected population, including children, in affected urban and peri-urban districts ahead of projected cyclone landfall. IOM assists 20,000 people, including more than 7,700 women, over 5,800 children, and including about 2,000 persons with disabilities, with unconditional cash transfers, and by reinforcing shelter sites and equipping them with emergency kits to provide safety, hygiene and protection.",34545,2026,CERF-MDG-24-RR-IOM-34545,Action anticipatoire pour assister les populations à se préparer aux cyclones.,1434,CERF-MDG-24-RR-1434,3,Rapid Response,55,Madagascar,MDG,7,International Organization for Migration,IOM,7,International Organization for Migration,5,Storm,"{""projectsectors"":[{""tableName"":""P"",""projectID"":34545,""projectCode"":""CERF-MDG-24-RR-IOM-34545"",""sectorID"":2,""sectorName"":""Camp Coordination and Camp Management"",""cERFSectorName"":""Camp Coordination and Camp Management"",""sectorAmount"":119994.0,""clusterName"":""Camp Coordination and Camp Management"",""iascSectorname"":""Camp Coordination / Management""},{""tableName"":""P"",""projectID"":34545,""projectCode"":""CERF-MDG-24-RR-IOM-34545"",""sectorID"":17,""sectorName"":""Shelter and Non-Food Items"",""cERFSectorName"":""Shelter"",""sectorAmount"":300006.0,""clusterName"":""Shelter and Non-Food Items"",""iascSectorname"":""Emergency Shelter and NFI""}]}",420000,Camp Coordination and Camp Management;Shelter and Non-Food Items,Other affected persons,"{""projectgrouping"":[]}",Funded,2026-10-24T00:00:00,Natural Disaster,Natural Disaster,Eastern Africa,Eastern Africa,Africa,HRP,"{""projectcapcode"":[]}","{""ProjectCountry"":[{""projectID"":34545,""countryCode"":""MDG"",""countryPercent"":100.0,""totalBudget"":420000.0}]}",Natural Disaster,3894,1947,5841,7788,5841,11682,7788,13629,19470,2026-02-09T00:00:00,2026-08-08T00:00:00,2026-10-24T00:00:00,2026-02-12T00:00:00,1,5,4,GAM
P,Completed,"This is a project under the CERF-funded anticipatory action (AA) framework for cyclones in Madagascar. Through this AA cyclone project, UNICEF provides proactive lifesaving WASH, Education and Protection assistance to affected population, including children, in affected urban and peri-urban districts ahead of projected cyclone landfall. UNICEF assists 21,000 people, including 5,880 women, 10,500 children, and including over 3,300 persons with disabilities, with multi-sectoral early warning messages, deployment of teams in advance, waterproof materials to protect school supplies and equipment for students and teachers, distribution of infrastructure reinforcement kits, distribution of WASH kits to households in flood-prone areas, cleaning and clearing of drainage channels, and deployment of kits to establish child-friendly spaces.",34546,2026,CERF-MDG-24-RR-CEF-34546,"Action Anticipatoire Education, Wash, Communication ( SBC) et protection de l'enfant dans le cadre de cyclones/inondations",1434,CERF-MDG-24-RR-1434,3,Rapid Response,55,Madagascar,MDG,4,United Nations Children’s Fund,UNICEF,4,United Nations Children’s Fund,5,Storm,"{""projectsectors"":[{""tableName"":""P"",""projectID"":34546,""projectCode"":""CERF-MDG-24-RR-CEF-34546"",""sectorID"":18,""sectorName"":""Water, Sanitation and Hygiene"",""cERFSectorName"":""Water, Sanitation and Hygiene"",""sectorAmount"":450000.0,""clusterName"":""Water, Sanitation and Hygiene"",""iascSectorname"":""Water Sanitation Hygiene""},{""tableName"":""P"",""projectID"":34546,""projectCode"":""CERF-MDG-24-RR-CEF-34546"",""sectorID"":7,""sectorName"":""Education"",""cERFSectorName"":""Education"",""sectorAmount"":270000.0,""clusterName"":""Education"",""iascSectorname"":""Education""},{""tableName"":""P"",""projectID"":34546,""projectCode"":""CERF-MDG-24-RR-CEF-34546"",""sectorID"":25,""sectorName"":""Protection"",""cERFSectorName"":""Child Protection"",""sectorAmount"":152999.99,""clusterName"":""Protection"",""iascSectorname"":""Child Protection""},{""tableName"":""P"",""projectID"":34546,""projectCode"":""CERF-MDG-24-RR-CEF-34546"",""sectorID"":31,""sectorName"":""Common Services"",""cERFSectorName"":""Common Services"",""sectorAmount"":27000.0,""clusterName"":""Common Services"",""iascSectorname"":""Coordination and support services""}]}",899999.99,"Common Services;Education;Protection;Water, Sanitation and Hygiene",Other affected persons,"{""projectgrouping"":[]}",Funded,2026-01-29T00:00:00,Natural Disaster,Natural Disaster,Eastern Africa,Eastern Africa,Africa,HRP,"{""projectcapcode"":[]}","{""ProjectCountry"":[{""projectID"":34546,""countryCode"":""MDG"",""countryPercent"":100.0,""totalBudget"":899999.99}]}",Natural Disaster,5460,5040,10500,5880,4620,11340,9660,10500,21000,2026-02-09T00:00:00,2026-08-08T00:00:00,2026-01-29T00:00:00,2026-02-12T00:00:00,1,3,2,GAM
P,Completed,"This is a project under the CERF-funded anticipatory action (AA) framework for cyclones in Madagascar. Through this AA cyclone project, UNFPA provides proactive lifesaving emergency Health (Sexual and Reproductive Health) and Protection (Gender-Based Violence) assistance to affected people with a particular focus on pregnant women, breastfeeding mothers and young girls. UNFPA assists over 57,200 people, including about 32,000 women, over 21,400 children, and an estimated 500 persons with disabilities in affected urban and peri-urban districts ahead of projected cyclone landfall. UNFPA's anticipatory assistance includes the advance provision of Emergency Reproductive Health (ERH) kits to health centers, the provision of personalized care tailored to childbirth-related needs, and the distribution of dignity kits to ensure that women can give birth with dignity.",34547,2026,CERF-MDG-24-RR-FPA-34547,"Renforcement de l'Action Anticipatoires et de la protection des groupes vulnérables, dont les femmes enceintes, les jeunes filles pour bien se préparer aux urgences humanitaires.",1434,CERF-MDG-24-RR-1434,3,Rapid Response,55,Madagascar,MDG,6,United Nations Population Fund,UNFPA,6,United Nations Population Fund,5,Storm,"{""projectsectors"":[{""tableName"":""P"",""projectID"":34547,""projectCode"":""CERF-MDG-24-RR-FPA-34547"",""sectorID"":20,""sectorName"":""Protection"",""cERFSectorName"":""Gender-Based Violence"",""sectorAmount"":210000.0,""clusterName"":""Protection"",""iascSectorname"":""Gender Based Violence""},{""tableName"":""P"",""projectID"":34547,""projectCode"":""CERF-MDG-24-RR-FPA-34547"",""sectorID"":32,""sectorName"":""Health"",""cERFSectorName"":""Sexual and Reproductive Health"",""sectorAmount"":90000.0,""clusterName"":""Health"",""iascSectorname"":""Health""}]}",300000,Health;Protection,Other affected persons,"{""projectgrouping"":[]}",Funded,2026-02-04T00:00:00,Natural Disaster,Natural Disaster,Eastern Africa,Eastern Africa,Africa,HRP,"{""projectcapcode"":[]}","{""ProjectCountry"":[{""projectID"":34547,""countryCode"":""MDG"",""countryPercent"":100.0,""totalBudget"":300000.0}]}",Natural Disaster,16873,4645,21518,31822,3877,48695,8522,35699,57217,2026-02-09T00:00:00,2026-08-08T00:00:00,2026-02-04T00:00:00,2026-02-12T00:00:00,1,5,4,GAM
P,Completed,"This is a project under the CERF-funded anticipatory action (AA) framework for cyclones in Madagascar. Through this AA cyclone project, WHO provides proactive lifesaving health assistance to affected population, including children, in affected urban and peri-urban districts ahead of projected cyclone landfall. WHO assists over 17,000 people, including almost 7,000 women, over 3,500 children, and including 100 persons with disabilities, by reinforcing impacted health structures and equipping them with medicines and staff; by ensuring continuity of care; and by establishing and early warning system and local engagement.",34548,2026,CERF-MDG-24-RR-WHO-34548,"Les actions anticipatoires de l’OMS contre la menace cyclonique saison 2024 – 2025 dans le Nord-Est (Diana, Sava, Analanjirofo), Madagascar ",1434,CERF-MDG-24-RR-1434,3,Rapid Response,55,Madagascar,MDG,3,World Health Organization,WHO,3,World Health Organization,5,Storm,"{""projectsectors"":[{""tableName"":""P"",""projectID"":34548,""projectCode"":""CERF-MDG-24-RR-WHO-34548"",""sectorID"":9,""sectorName"":""Health"",""cERFSectorName"":""Health"",""sectorAmount"":329999.87,""clusterName"":""Health"",""iascSectorname"":""Health""}]}",329999.87,Health,Other affected persons,"{""projectgrouping"":[]}",Funded,2026-01-29T00:00:00,Natural Disaster,Natural Disaster,Eastern Africa,Eastern Africa,Africa,HRP,"{""projectcapcode"":[]}","{""ProjectCountry"":[{""projectID"":34548,""countryCode"":""MDG"",""countryPercent"":100.0,""totalBudget"":329999.87}]}",Natural Disaster,1819,1747,3566,6883,6614,8702,8361,13497,17063,2026-02-09T00:00:00,2026-08-08T00:00:00,2026-01-29T00:00:00,2026-02-17T00:00:00,1,5,4,GAM
P,Completed,"This is a project under the CERF-funded anticipatory action (AA) framework for cyclones in Madagascar. Through this AA cyclone project, WFP provides proactive lifesaving food security assistance to affected population, including children, in affected urban and peri-urban districts ahead of projected cyclone landfall. WFP assists 37,770 people, including 6,000 women, 26,00 children, and including 450 persons with disabilities, through emergency cash distributions to cover immediate food needs. In addition, assessment and early response flights and the use of cargo drones for multi-agency support will ensure rapid intervention by delivering emergency assistance to areas at risk or difficult to access before the impact of a cyclone.",34549,2026,CERF-MDG-24-RR-WFP-34549,Assistance alimentaire et soutien logistique aux personnes touchées par le cyclone à Madagascar  ,1434,CERF-MDG-24-RR-1434,3,Rapid Response,55,Madagascar,MDG,2,World Food Programme,WFP,2,World Food Programme,5,Storm,"{""projectsectors"":[{""tableName"":""P"",""projectID"":34549,""projectCode"":""CERF-MDG-24-RR-WFP-34549"",""sectorID"":4,""sectorName"":""Common Services"",""cERFSectorName"":""Humanitarian Air Services"",""sectorAmount"":149999.55,""clusterName"":""Common Services"",""iascSectorname"":""Coordination and support services""},{""tableName"":""P"",""projectID"":34549,""projectCode"":""CERF-MDG-24-RR-WFP-34549"",""sectorID"":8,""sectorName"":""Food Assistance"",""cERFSectorName"":""Food Aid"",""sectorAmount"":599998.21,""clusterName"":""Food Aid"",""iascSectorname"":""Food Security""}]}",749997.76,Common Services;Food Assistance,Other affected persons,"{""projectgrouping"":[]}",Funded,2026-10-24T00:00:00,Natural Disaster,Natural Disaster,Eastern Africa,Eastern Africa,Africa,HRP,"{""projectcapcode"":[]}","{""ProjectCountry"":[{""projectID"":34549,""countryCode"":""MDG"",""countryPercent"":100.0,""totalBudget"":749997.76}]}",Natural Disaster,14353,12464,26817,6043,4910,20396,17374,10953,37770,2026-02-09T00:00:00,2026-08-08T00:00:00,2026-10-24T00:00:00,2026-02-12T00:00:00,1,4,3,GAM
