,,,," 47,704,781 ", -   ," 3,975,351 "," 10,462,976 "," 28,872,672 "," 20,986,071 "," 8,356,947 "," 22,420,698 "," 15,363,218 "," 27,092,138 "," 882,066 ", -   , -   , -   ,," 32,756,543 "," 33,699,770 ",,,
Location,,,,Populaton,, Clusters' PiN (Number) , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,
 Admin 1 , Admin 1 P-Code , Admin 2 , Admin 2 P-Code , Total Population , Population Group , Site Management  , Education , Food Security and Livlihoods , Health  , Nutrition , Protection , Shelter NFI  , WASH , RCF , GBV , Mine Action , Child Protection ,Severity, Preliminary PiN , Final PiN with refugee , Evidence & Comments ,,
Khartoum,SD01,Jebel Awlia,SD01001," 20,152 ", IDPs , -   ," 4,383 "," 10,195 "," 15,497 "," 3,406 "," 10,076 "," 4,836 "," 15,497 ", -   ,,,,4," 15,497 "," 15,497 ", Yes ,,
Khartoum,SD01,Um Bada,SD01002," 49,846 ", IDPs , -   ," 8,649 "," 34,110 "," 38,332 "," 8,424 "," 24,574 ", -   ," 44,861 ", -   ,,,,3," 44,861 "," 44,861 ", No ,,
Khartoum,SD01,Bahri,SD01003," 25,227 ", IDPs , -   ," 3,445 "," 14,826 "," 11,260 "," 4,263 "," 12,104 "," 6,307 "," 14,826 ", -   ,,,,3," 14,826 "," 14,826 ", Yes ,,
Khartoum,SD01,Sharg An Neel,SD01004," 28,213 ", IDPs , -   ," 5,773 "," 13,678 "," 21,696 "," 4,768 "," 8,464 "," 8,549 "," 21,696 ", -   ,,,,3," 21,696 "," 21,696 ", Yes ,,
Khartoum,SD01,Karrari,SD01005," 120,392 ", IDPs , -   ," 20,691 "," 71,994 "," 96,314 "," 20,346 "," 57,741 "," 24,455 "," 96,314 ", -   ,,,,4," 96,314 "," 96,314 ", Yes ,,
Khartoum,SD01,Um Durman,SD01006," 68,892 ", IDPs , -   ," 12,191 "," 31,366 "," 55,114 "," 11,642 "," 33,807 ", -   ," 55,114 ", -   ,,,,4," 55,114 "," 55,114 ", Yes ,,
Khartoum,SD01,Khartoum,SD01007," 6,466 ", IDPs , -   ," 1,226 "," 1,872 "," 4,429 "," 1,093 "," 3,233 "," 1,990 "," 4,429 ", -   ,,,,4," 4,429 "," 4,429 ", Yes ,,
