,,,, Sectoral Severity ,,,,,,,,,,,,, Humanitarian Condistions/Outcomes ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,,,,,,,,,,,,,,,,, Life Threatening ,,, Irreversible Harm ,,"Final Results
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Admin 1 , Admin 1 P-Code , Admin 2 , Admin 2 P-Code , Site Management  , Education , Food Security and Livlihoods , Health  , Nutrition , Protection , Shelter NFI  , WASH , RCF , GBV , Mine Action , General Protection , Preliminary Severity based on overlap of sectoral deprivations , Mortality , Malnutrition , Epidemics , FSLA , HR/IHL Violation , Final Severity , Evidence & Comments , Changes severity ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khartoum,SD01,Jebel Awlia,SD01001, 1 , 4 , 3 , 5 , 4 , 4 , 3 , 4 , 4 , -   , -   , -   , 4 ,, 4 , 3 , 4 , 4 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khartoum,SD01,Um Bada,SD01002, 1 , 4 , 3 , 4 , 4 , 3 , 2 , 3 , 4 , -   , -   , -   , 3 ,, 4 , 3 , 3 , 4 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,```````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````
Khartoum,SD01,Bahri,SD01003, 1 , 4 , 3 , 3 , 4 , 4 , 3 , 3 , 4 , -   , -   , -   , 3 ,, 4 , 3 , 3 , 4 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khartoum,SD01,Sharg An Neel,SD01004, 1 , 3 , 3 , 5 , 3 , 3 , 3 , 3 , 4 , -   , -   , -   , 3 ,, 2 , 3 , 4 , 3 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khartoum,SD01,Karrari,SD01005, 2 , 4 , 3 , 4 , 4 , 4 , 3 , 3 , 0 , -   , -   , -   , 4 , 4 , 4 , 4 , 3 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khartoum,SD01,Um Durman,SD01006, 1 , 4 , 3 , 5 , 4 , 4 , 2 , 4 , 4 , -   , -   , -   , 4 ,, 4 , 5 , 3 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khartoum,SD01,Khartoum,SD01007, 1 , 4 , 3 , 4 , 4 , 4 , 3 , 4 , 4 , -   , -   , -   , 4 ,, 3 , 4 , 3 , 4 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Darfur,SD02,Dar As Salam,SD02113, 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 0 , -   , -   , -   , 4 , 2 , 4 , 1 , 4 , 4 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
