,,,,,," 47,648,547 ",," 4,650,651 "," 13,271,937 "," 36,736,746 "," 28,129,290 "," 5,777,613 "," 19,078,606 "," 14,630,240 "," 14,407,859 "," 16,707,719 "," 14,235,515 "," 37,181,152 "," 3,975,351 "," 10,154,358 "," 27,817,072 "," 20,287,608 "," 8,003,960 "," 21,580,925 "," 882,066 ", -   , -   ," 15,047,395 "," 25,664,832 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,,,,,,Populaton,, Previous Year's Clusters' PiN ,,,,,,,,,,, Current Clusters' PiN ,,,,,,,,,,,Absolute PiN Differences,,,,,,,,,,,% PiN Differences,,,,,,,,,,,,,,,,,,,,,,,,,
 Admin 1 , Admin 1 P-Code , Admin 2 , Admin 2 P-Code , Admin 3 , Admin 3 P-Code , Population , Population Group , Site Management - Old , Education Old , Food Security and Livlihoods Old , Health Old , Nutrition Old , Protection Old , CP Old  , GBV Old , Mine Action Old , Shelter NFI Old , WASH Old , Site Management - New , Education New , Food Security and Livlihoods New , Health New , Nutrition New , Protection New , CP New , GBV New , Mine Action New , Shelter NFI New , WASH New , PiN Difference for Site Management  , PiN Difference for Education , Food Security and Livlihoods , PiN Difference for Health  , PiN Difference for Nutrition , PiN Difference for Protection , PiN Difference CP , PiN Difference GBV  , PiN Difference for Mine Action  , PiN Difference for Shelter NFI ,PiN Difference for WASH,Site Management ,Education,Food Security and Livlihoods2,Health ,Nutrition,Protection,CP,GBV,Mine Action ,Shelter NFI ,WASH2,,,,,,,,,,,,,,,
Khartoum,SD01,Jebel Awlia,SD01001,,," 10,542 ", IDPs ," 7,380 "," 1,898 "," 7,464 "," 7,907 ", 894 ," 9,488 "," 6,225 "," 7,380 "," 8,434 ", 960 ," 7,161 ", -   ," 4,383 "," 10,195 "," 15,497 "," 3,406 "," 10,076 ", -   ,,," 4,836 "," 15,497 ",," 2,485 "," 2,731 "," 7,591 "," 2,512 ", 588 ,,,," 3,876 "," 8,336 ",-100%,130%,40%,100%,280%,10%,-100%,,,400%,120%,,,,,,,,,,,,,,,
Khartoum,SD01,Um Bada,SD01002,,," 10,043 ", IDPs ," 5,022 "," 1,808 "," 7,110 "," 7,532 ", 469 ," 7,030 "," 5,931 "," 7,030 "," 5,022 "," 2,287 "," 4,826 ", -   ," 8,649 "," 34,110 "," 38,332 "," 8,424 "," 24,574 ", -   ,,, -   ," 44,861 ",," 6,841 "," 27,000 "," 30,800 "," 7,955 "," 17,544 ",,,,," 40,035 ",-100%,380%,380%,410%,1700%,250%,-100%,,,-100%,830%,,,,,,,,,,,,,,,
Khartoum,SD01,Bahri,SD01003,,," 33,400 ", IDPs ," 23,380 "," 6,012 "," 23,647 "," 25,050 "," 2,470 "," 30,060 "," 19,723 "," 23,380 "," 28,390 "," 6,083 "," 21,303 ", -   ," 3,445 "," 14,826 "," 11,260 "," 4,263 "," 12,104 ", -   ,,," 6,307 "," 14,826 ",," -2,567 "," -8,821 "," -13,790 "," 1,793 "," -17,956 ",,,, 224 ," -6,477 ",-100%,-40%,-40%,-60%,70%,-60%,-100%,,,0%,-30%,,,,,,,,,,,,,,,
Khartoum,SD01,Sharg An Neel,SD01004,,," 25,215 ", IDPs ," 17,651 "," 4,539 "," 17,852 "," 18,911 "," 1,610 "," 17,651 "," 14,889 "," 17,651 "," 20,172 "," 4,592 "," 10,643 ", -   ," 5,773 "," 13,678 "," 21,696 "," 4,768 "," 8,464 ", -   ,,," 8,549 "," 21,696 ",," 1,234 "," -4,174 "," 2,785 "," 3,158 "," -9,187 ",,,," 3,957 "," 11,053 ",-100%,30%,-20%,10%,200%,-50%,-100%,,,90%,100%,,,,,,,,,,,,,,,
Khartoum,SD01,Karrari,SD01005,,," 18,823 ", IDPs ," 13,177 "," 3,388 "," 13,327 "," 11,294 ", 811 ," 13,176 "," 11,115 "," 13,176 "," 15,058 "," 1,714 "," 11,300 ", -   ," 20,691 "," 71,994 "," 96,314 "," 20,346 "," 57,741 ", -   ,,," 24,455 "," 96,314 ",," 17,303 "," 58,667 "," 85,020 "," 19,535 "," 44,565 ",,,," 22,741 "," 85,014 ",-100%,510%,440%,750%,2410%,340%,-100%,,,1330%,750%,,,,,,,,,,,,,,,
Khartoum,SD01,Um Durman,SD01006,,," 12,871 ", IDPs ," 6,436 "," 2,317 "," 9,113 "," 9,653 ", 540 ," 11,584 "," 7,600 "," 9,011 "," 10,940 "," 2,930 "," 5,957 ", -   ," 12,191 "," 31,366 "," 55,114 "," 11,642 "," 33,807 ", -   ,,, -   ," 55,114 ",," 9,874 "," 22,253 "," 45,461 "," 11,102 "," 22,223 ",,,,," 49,157 ",-100%,430%,240%,470%,2060%,190%,-100%,,,-100%,830%,,,,,,,,,,,,,,,
Khartoum,SD01,Khartoum,SD01007,,," 6,805 ", IDPs ," 4,764 "," 1,225 "," 4,818 "," 5,104 ", 333 ," 6,125 "," 4,019 "," 4,764 "," 5,784 "," 1,549 ", -   , -   ," 1,226 "," 1,872 "," 4,429 "," 1,093 "," 3,233 ", -   ,,," 1,990 "," 4,429 ",, 1 ," -2,946 ", -675 , 760 ," -2,892 ",,,, 441 ,,-100%,0%,-60%,-10%,230%,-50%,-100%,,,30%,,,,,,,,,,,,,,,,
North Darfur,SD02,Dar As Salam,SD02113,,," 124,035 ", IDPs ," 37,211 "," 22,326 "," 87,817 "," 93,026 "," 21,360 "," 86,825 "," 72,126 "," 86,825 "," 99,228 "," 81,577 "," 122,100 "," 167,537 "," 86,943 "," 215,405 "," 147,193 "," 44,680 "," 166,983 ", -   ,,," 211,466 "," 215,405 "," 130,326 "," 64,617 "," 127,588 "," 54,167 "," 23,320 "," 80,158 ",,,," 129,889 "," 93,305 ",350%,290%,150%,60%,110%,90%,-100%,,,160%,80%,,,,,,,,,,,,,,,
