PooledFundName,PooledFundId,FiscalYear,DonorName,DonorCode,GMSDonorId,GMSDonorName,ContributionAmt,ContributionPercent
Colombia (RhPF-LAC),87,2026,EUROPEAN UNION,105,105,European Commission,571428.57,0.28000
Sudan,15,2026,Isle of Man,1037,206,Isle of Man,467646.70,0.10000
Syria,62,2026,United States,102,102,United States,260000000.00,79.69000
DRC,24,2026,UN Foundation/UN Partnership Office,131,132,Private donations (through UNF),20745.99,0.01000
Haiti (RhPF-LAC),88,2026,UN Foundation/UN Partnership Office,131,132,Private donations (through UNF),1363.61,0.00000
Syria,62,2026,Government of Poland,13,18,Poland,943917.90,0.29000
Venezuela,83,2026,Government of Spain,15,21,Spain,1382488.48,1.19000
Asia Pacific Regional Envelope (RHPF-AP),501,2026,UN Foundation/UN Partnership Office,131,132,Private donations (through UNF),237.35,0.01000
Afghanistan,23,2026,Sida,20,22,Sweden,2985662.75,4.77000
oPt,67,2026,Scotland,1031,200,Scotland,669344.04,1.08000
Mali (RhPF-WCA),86,2026,Government of Belgium,4,6,Belgium,4655737.70,43.35000
South Pacific Envelope (RHPF-AP),507,2026,Government of the United Kingdom (Former DFID),19,9,United Kingdom,254525.75,10.85000
Ethiopia,53,2026,Government of Finland,6,10,Finland,5767012.69,4.44000
oPt,67,2026,PRIVATE SECTOR,17,19,PRIVATE SECTOR,115352.70,0.19000
oPt,67,2026,Catalan Agency for Development Cooperation,1016,185,Catalan Agency for Development Cooperation,232558.14,0.38000
Burkina Faso (RhPF-WCA),85,2026,Government of Germany,7,11,Germany,2378121.28,20.15000
Afghanistan,23,2026,Government of Luxembourg,10,15,Luxembourg,343642.61,0.55000
Ukraine,81,2026,Catalan Agency for Development Cooperation,1016,185,Catalan Agency for Development Cooperation,914285.71,0.22000
Ukraine,81,2026,Lithuania,67,67,Lithuania,233918.13,0.06000
oPt,67,2026,Government of Spain,15,21,Spain,1152073.73,1.86000
Mozambique (RhPF),89,2026,Kyrgyzstan,1039,,,50000.00,0.03000
South Pacific Envelope (RHPF-AP),507,2026,Government of Australia,2,3,Australia,2090723.85,89.15000
Afghanistan,23,2026,Kuwait,64,64,Kuwait,1250000.00,2.00000
Sudan,15,2026,Government of the United Kingdom (Former DFID),19,9,United Kingdom,13458950.20,2.90000
Syria,62,2026,Government of Denmark,5,8,Denmark,9428844.60,2.89000
Lebanon,71,2026,Government of Switzerland,16,24,Switzerland,3012483.00,6.98000
Sudan,15,2026,UN Foundation/UN Partnership Office,131,132,Private donations (through UNF),243352.10,0.05000
Ethiopia,53,2026,Government of Norway,12,17,Norway,1626325.16,1.25000
Burkina Faso (RhPF-WCA),85,2026,UN Foundation/UN Partnership Office,131,132,Private donations (through UNF),821.24,0.01000
Afghanistan,23,2026,Government of Netherlands,11,16,Netherlands,18285714.29,29.23000
DRC,24,2026,Government of Belgium,4,6,Belgium,9953161.59,2.44000
Myanmar,59,2026,IRISH AID,23,13,Ireland,1756440.28,1.04000
Somalia,21,2026,Kuwait,64,64,Kuwait,1250000.00,3.04000
Mali (RhPF-WCA),86,2026,Government of Canada,119,7,Canada,354388.47,3.30000
South Sudan,19,2026,Government of Luxembourg,10,15,Luxembourg,286368.84,0.16000
Ukraine,81,2026,United States,102,102,United States,335000000.00,79.40000
Lebanon,71,2026,Government of Australia,2,3,Australia,4106492.70,9.52000
CAR,17,2026,Japan,60,60,Japan,40000.00,0.07000
oPt,67,2026,Government of Switzerland,16,24,Switzerland,3703703.70,5.97000
