operation,admin0Name,admin0Pcode,numPresentIdpInd,reportingDate,yearReportingDate,monthReportingDate,roundNumber,displacementReason,numberMales,numberFemales,idpOriginAdmin1Name,idpOriginAdmin1Pcode,assessmentType
Armed Clashes in Sudan (Overview),Sudan,SDN,218388,2026-01-31T00:00:00,2026,1,32,Conflict,,,North Kordofan,SD13,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,6938,2026-01-31T00:00:00,2026,1,32,Conflict,,,Kassala,SD11,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,5046,2026-01-31T00:00:00,2026,1,32,Conflict,,,Northern,SD17,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,207963,2026-01-31T00:00:00,2026,1,32,Conflict,,,East Darfur,SD05,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,358685,2026-01-31T00:00:00,2026,1,32,Conflict,,,West Darfur,SD04,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,357585,2026-01-31T00:00:00,2026,1,32,Conflict,,,West Kordofan,SD18,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,226703,2026-01-31T00:00:00,2026,1,32,Conflict,,,Blue Nile,SD08,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,2279745,2026-01-31T00:00:00,2026,1,32,Conflict,,,Khartoum,SD01,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,9494,2026-01-31T00:00:00,2026,1,32,Conflict,,,River Nile,SD16,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,24605,2026-01-31T00:00:00,2026,1,32,Conflict,,,Red Sea,SD10,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,2049468,2026-01-31T00:00:00,2026,1,32,Conflict,,,North Darfur,SD02,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,66862,2026-01-31T00:00:00,2026,1,32,Conflict,,,Sennar,SD14,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,756669,2026-01-31T00:00:00,2026,1,32,Conflict,,,Central Darfur,SD06,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,369547,2026-01-31T00:00:00,2026,1,32,Conflict,,,South Kordofan,SD07,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,161172,2026-01-31T00:00:00,2026,1,32,Conflict,,,Aj Jazirah,SD15,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,2942,2026-01-31T00:00:00,2026,1,32,Conflict,,,Gedaref,SD12,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,1980150,2026-01-31T00:00:00,2026,1,32,Conflict,,,South Darfur,SD03,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,23505,2026-01-31T00:00:00,2026,1,32,Conflict,,,White Nile,SD09,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,756949,2026-02-28T00:00:00,2026,2,33,Conflict,,,Central Darfur,SD06,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,203566,2026-02-28T00:00:00,2026,2,33,Conflict,,,East Darfur,SD05,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,242066,2026-02-28T00:00:00,2026,2,33,Conflict,,,Blue Nile,SD08,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,234691,2026-02-28T00:00:00,2026,2,33,Conflict,,,North Kordofan,SD13,BA
